experiment_id,selection_mode,dataset_index,path,true_class,predicted_class,confidence,correct,figure_path
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,correct_high_confidence,188,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Residential\Residential_2287.tif,Residential,Residential,1.0,True,reports\figures\gradcam\v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42_correct_high_confidence_00_Residential_to_Residential.png
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,correct_high_confidence,207,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Residential\Residential_2099.tif,Residential,Residential,1.0,True,reports\figures\gradcam\v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42_correct_high_confidence_01_Residential_to_Residential.png
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,correct_high_confidence,285,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Residential\Residential_593.tif,Residential,Residential,1.0,True,reports\figures\gradcam\v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42_correct_high_confidence_02_Residential_to_Residential.png
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,correct_high_confidence,329,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Residential\Residential_1592.tif,Residential,Residential,1.0,True,reports\figures\gradcam\v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42_correct_high_confidence_03_Residential_to_Residential.png
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,correct_high_confidence,376,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Residential\Residential_2862.tif,Residential,Residential,1.0,True,reports\figures\gradcam\v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42_correct_high_confidence_04_Residential_to_Residential.png
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,correct_high_confidence,593,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Residential\Residential_2738.tif,Residential,Residential,1.0,True,reports\figures\gradcam\v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42_correct_high_confidence_05_Residential_to_Residential.png
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,correct_high_confidence,602,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Residential\Residential_1077.tif,Residential,Residential,1.0,True,reports\figures\gradcam\v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42_correct_high_confidence_06_Residential_to_Residential.png
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,correct_high_confidence,616,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Residential\Residential_886.tif,Residential,Residential,1.0,True,reports\figures\gradcam\v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42_correct_high_confidence_07_Residential_to_Residential.png
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,high_confidence_failure,446,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_1495.tif,PermanentCrop,Industrial,0.9990547299385071,False,reports\figures\gradcam\v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42_high_confidence_failure_00_PermanentCrop_to_Industrial.png
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,high_confidence_failure,889,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_127.tif,AnnualCrop,SeaLake,0.9967820644378662,False,reports\figures\gradcam\v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42_high_confidence_failure_01_AnnualCrop_to_SeaLake.png
