path,true_label,predicted_label,true_class,predicted_class,confidence,correct,prob_AnnualCrop,prob_Forest,prob_HerbaceousVegetation,prob_Highway,prob_Industrial,prob_Pasture,prob_PermanentCrop,prob_Residential,prob_River,prob_SeaLake
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_2035.tif,0,0,AnnualCrop,AnnualCrop,0.9990204572677612,1,0.9990204572677612,1.3645653780258726e-06,8.969280315795913e-05,1.5421559510286897e-05,7.806283065292519e-06,0.00028877356089651585,0.0005547879845835268,5.627995278700837e-07,5.881297056475887e-06,1.5288800568669103e-05
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Industrial\Industrial_926.tif,4,4,Industrial,Industrial,0.9941278696060181,1,6.1017399275442585e-06,4.07808693125844e-05,2.1331436073523946e-05,0.0003153957659378648,0.9941278696060181,5.1786500989692286e-05,0.0005519259138964117,0.004866451025009155,1.4786794054089114e-05,3.5675716389960144e-06
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_705.tif,0,0,AnnualCrop,AnnualCrop,0.9944968819618225,1,0.9944968819618225,6.183765890455106e-06,0.00029016248299740255,6.825103628216311e-05,6.584817310795188e-05,0.0004825086798518896,0.004561626352369785,1.6477363260491984e-06,1.5566831280011684e-05,1.140093354479177e-05
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Forest\Forest_2954.tif,1,1,Forest,Forest,0.9993754029273987,1,3.480529358057538e-06,0.9993754029273987,7.627807644894347e-05,6.600741016882239e-06,9.226660040440038e-06,0.00016750438953749835,1.4105477930570487e-05,0.00033698981860652566,3.4982995202881284e-06,6.990066594880773e-06
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Industrial\Industrial_70.tif,4,4,Industrial,Industrial,0.9989652633666992,1,1.8560231183073483e-06,7.580341048196715e-07,3.5640146052173804e-06,0.0003722147666849196,0.9989652633666992,9.868773304333445e-06,0.0003604198864195496,0.0002818308712448925,3.847710104309954e-06,2.5637766043473675e-07
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_1176.tif,6,6,PermanentCrop,PermanentCrop,0.9701166152954102,1,0.0004891020944342017,6.768533785361797e-05,0.002142200944945216,0.00015142552729230374,0.0001457492762710899,0.026846501976251602,0.9701166152954102,2.135807699232828e-05,5.9135063565918244e-06,1.3412225598585792e-05
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\HerbaceousVegetation\HerbaceousVegetation_2302.tif,2,2,HerbaceousVegetation,HerbaceousVegetation,0.9964138865470886,1,3.740660531548201e-06,0.0016937927575781941,0.9964138865470886,6.034075340721756e-05,3.067971920245327e-05,1.1947783605137374e-05,0.0015360473189502954,0.00018012688087765127,6.893536192364991e-05,5.655373342960957e-07
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Pasture\Pasture_683.tif,5,5,Pasture,Pasture,0.9995813965797424,1,0.0001828153763199225,1.8810380424838513e-05,5.152828089194372e-05,0.00013710126222576946,5.242435463514994e-07,0.9995813965797424,9.134380889008753e-06,3.936447114938346e-07,1.718553903629072e-05,1.0813287190103438e-06
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_580.tif,6,0,PermanentCrop,AnnualCrop,0.8939932584762573,0,0.8939932584762573,2.7554394819162553e-06,0.00011813794844783843,0.0005857987562194467,4.131356399739161e-05,0.09956826269626617,0.005661505274474621,4.858549687014602e-07,2.3166810933616944e-05,5.139264430908952e-06
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Pasture\Pasture_1171.tif,5,5,Pasture,Pasture,0.9782246351242065,1,0.01534644141793251,0.0002889108145609498,0.004402875434607267,0.0002955723612103611,9.50151115830522e-06,0.9782246351242065,0.0006990078836679459,1.5349960449384525e-05,4.9716800276655704e-05,0.0006679824437014759
