class,band,mean,std,median,min,max
AnnualCrop,B1,1420.6640625,152.4589080810547,1410.8431396484375,1053.072265625,1907.7177734375
AnnualCrop,B2,1255.6602783203125,184.04690551757812,1245.635009765625,824.274658203125,1736.818603515625
AnnualCrop,B3,1273.060791015625,234.02806091308594,1254.26123046875,796.822509765625,1957.61083984375
AnnualCrop,B4,1374.4853515625,424.0401916503906,1360.5849609375,512.54541015625,2828.94775390625
AnnualCrop,B5,1650.8935546875,411.5471496582031,1609.099609375,823.1494140625,3149.180419921875
AnnualCrop,B6,2562.37255859375,458.7774963378906,2589.7109375,1541.1650390625,3695.4931640625
AnnualCrop,B7,3063.292724609375,614.9714965820312,3070.759521484375,1668.0107421875,4455.96875
AnnualCrop,B8,2958.2021484375,582.2395629882812,2954.311767578125,1608.49609375,4303.88623046875
AnnualCrop,B8A,797.5711059570312,249.85877990722656,756.3773193359375,447.396484375,1782.841796875
AnnualCrop,B9,13.151679992675781,2.1852481365203857,13.230224609375,8.101806640625,21.103515625
AnnualCrop,B10,2666.421875,623.7203979492188,2681.3525390625,1433.86328125,4089.553466796875
AnnualCrop,B11,1745.2008056640625,550.9136962890625,1796.4522705078125,666.291015625,3063.39599609375
AnnualCrop,B12,3386.850830078125,666.49365234375,3361.42724609375,1761.939208984375,4998.9765625
Forest,B1,1109.042236328125,99.07394409179688,1110.64404296875,902.159912109375,1593.4921875
Forest,B2,808.9398193359375,75.30477905273438,804.316650390625,652.408203125,1165.155517578125
Forest,B3,687.548095703125,98.06562042236328,660.9061279296875,521.265380859375,1008.90966796875
Forest,B4,411.61370849609375,62.629520416259766,396.896240234375,298.53466796875,604.34814453125
Forest,B5,751.7072143554688,218.24652099609375,687.69873046875,513.561279296875,1530.846435546875
Forest,B6,2071.403076171875,441.18450927734375,1993.3560791015625,1312.298828125,3123.580078125
Forest,B7,2638.8798828125,557.3197021484375,2586.361328125,1489.5244140625,4065.352783203125
Forest,B8,2586.1279296875,565.7926635742188,2497.75341796875,1468.044189453125,4089.621337890625
Forest,B8A,822.8460693359375,414.78955078125,714.4154052734375,374.08837890625,2141.018798828125
Forest,B9,10.068279266357422,4.267488479614258,8.7894287109375,6.40283203125,33.0732421875
Forest,B10,1283.6165771484375,298.5612487792969,1305.9698486328125,605.112548828125,1903.23583984375
Forest,B11,520.8386840820312,133.9901123046875,513.4090576171875,304.162841796875,835.51220703125
Forest,B12,2956.112548828125,613.9762573242188,2942.385498046875,1630.538330078125,4507.12451171875
HerbaceousVegetation,B1,1315.18701171875,186.1353759765625,1260.4444580078125,1000.66796875,1813.341796875
HerbaceousVegetation,B2,1112.016845703125,203.38421630859375,1046.146728515625,810.132080078125,1673.248291015625
HerbaceousVegetation,B3,1065.7965087890625,241.83665466308594,1003.410400390625,603.4931640625,1743.62353515625
HerbaceousVegetation,B4,1076.7012939453125,365.33282470703125,976.72021484375,463.148193359375,2072.024658203125
HerbaceousVegetation,B5,1392.418701171875,315.21258544921875,1363.3416748046875,730.06787109375,2294.158935546875
HerbaceousVegetation,B6,2083.849609375,427.95892333984375,2056.4375,1094.80126953125,3210.28662109375
HerbaceousVegetation,B7,2391.858642578125,532.635009765625,2353.533447265625,1232.059326171875,3830.8671875
HerbaceousVegetation,B8,2397.596923828125,549.2601928710938,2311.49755859375,1248.527587890625,3870.24169921875
HerbaceousVegetation,B8A,1028.7613525390625,349.6166687011719,1006.9910888671875,435.32470703125,1777.4990234375
HerbaceousVegetation,B9,15.836217880249023,4.6068243980407715,15.04931640625,9.748291015625,36.0107421875
HerbaceousVegetation,B10,2401.371337890625,557.0836791992188,2418.22802734375,1055.47607421875,3874.669677734375
HerbaceousVegetation,B11,1460.2001953125,441.9830627441406,1387.7811279296875,529.23095703125,2876.47265625
HerbaceousVegetation,B12,2695.11572265625,614.4324951171875,2611.60498046875,1436.6669921875,4305.7216796875
Highway,B1,1335.3074951171875,142.23345947265625,1317.058349609375,1037.982421875,1768.16650390625
Highway,B2,1102.34521484375,184.99795532226562,1066.361572265625,787.292724609375,1724.8701171875
Highway,B3,1039.4498291015625,237.8505859375,986.1009521484375,664.455322265625,1795.705810546875
Highway,B4,957.0018920898438,398.3018493652344,849.4556884765625,432.763916015625,2355.146728515625
Highway,B5,1239.8072509765625,375.037353515625,1166.9713134765625,653.902099609375,2605.3203125
Highway,B6,2174.125732421875,383.1298828125,2152.972412109375,1295.268798828125,3319.557861328125
Highway,B7,2592.3134765625,482.4073486328125,2529.017578125,1537.4521484375,4395.2373046875
Highway,B8,2517.9033203125,471.6714172363281,2472.784423828125,1442.802978515625,4287.1865234375
Highway,B8A,794.7885131835938,291.5774841308594,723.67724609375,327.50341796875,1589.475341796875
Highway,B9,11.892875671386719,2.8154873847961426,11.326171875,7.6962890625,21.595458984375
Highway,B10,1985.3826904296875,563.6446533203125,1915.27392578125,1008.5595703125,4113.794921875
Highway,B11,1217.680419921875,479.15289306640625,1135.832763671875,469.697021484375,2858.25244140625
Highway,B12,2851.26318359375,520.6320190429688,2797.4501953125,1657.796875,4721.88818359375
Industrial,B1,1679.8656005859375,186.3273162841797,1640.9793701171875,1303.31787109375,2139.739990234375
Industrial,B2,1491.04345703125,208.4309539794922,1464.0126953125,1036.773681640625,2087.738525390625
Industrial,B3,1407.083251953125,249.28732299804688,1348.343505859375,912.985107421875,2098.936279296875
Industrial,B4,1408.37646484375,344.0942077636719,1342.62939453125,773.083740234375,2414.644775390625
Industrial,B5,1555.6719970703125,333.571533203125,1495.0047607421875,997.905517578125,2542.20068359375
Industrial,B6,2063.386962890625,352.275390625,1998.645263671875,1122.062744140625,2885.53076171875
Industrial,B7,2312.388671875,409.334228515625,2265.80322265625,1251.685791015625,3427.565673828125
Industrial,B8,2187.700927734375,392.3360595703125,2143.4287109375,1273.26904296875,3209.31640625
Industrial,B8A,634.9996337890625,192.84432983398438,605.254638671875,298.053466796875,1191.3564453125
Industrial,B9,12.024958610534668,2.649235725402832,11.6846923828125,7.509033203125,23.168701171875
Industrial,B10,2120.6474609375,487.552490234375,2052.1865234375,995.798095703125,3684.749755859375
Industrial,B11,1543.08056640625,431.55535888671875,1478.4271240234375,660.166015625,3017.78857421875
Industrial,B12,2459.677001953125,441.75909423828125,2408.5205078125,1440.35498046875,3697.023193359375
Pasture,B1,1259.7640380859375,233.41476440429688,1163.64794921875,1043.088623046875,1978.36279296875
Pasture,B2,981.0321655273438,179.72474670410156,911.6903076171875,790.30078125,1509.373779296875
Pasture,B3,932.174560546875,101.4100570678711,901.4959716796875,751.61083984375,1324.548828125
Pasture,B4,660.1651611328125,140.6910858154297,626.638916015625,416.791748046875,990.318359375
Pasture,B5,1175.888427734375,127.73690032958984,1150.24072265625,970.8193359375,1746.294677734375
Pasture,B6,2788.371826171875,450.4234313964844,2753.65966796875,1441.770263671875,4044.415771484375
Pasture,B7,3431.360107421875,647.9150390625,3369.96142578125,1566.357421875,5003.67578125
Pasture,B8,3379.976318359375,625.5611572265625,3333.54931640625,1517.378662109375,4940.8408203125
Pasture,B8A,1122.4083251953125,342.7738037109375,1055.3148193359375,551.51953125,1967.409423828125
Pasture,B9,13.563735008239746,10.23787784576416,11.9261474609375,8.76416015625,110.01513671875
Pasture,B10,2001.89111328125,294.80352783203125,1967.9564208984375,1118.866943359375,2983.43212890625
Pasture,B11,968.1781005859375,184.37088012695312,938.6678466796875,608.587158203125,1496.517333984375
Pasture,B12,3825.61376953125,706.4456787109375,3770.91796875,1664.75341796875,5597.345703125
PermanentCrop,B1,1403.951904296875,165.505859375,1377.218994140625,1134.13134765625,1862.09814453125
PermanentCrop,B2,1209.8524169921875,210.2714385986328,1175.8966064453125,888.678955078125,1816.843994140625
PermanentCrop,B3,1225.447998046875,267.8233947753906,1191.622802734375,828.03564453125,1952.6298828125
PermanentCrop,B4,1272.3004150390625,410.4219665527344,1249.688720703125,610.254638671875,2171.17138671875
PermanentCrop,B5,1557.8160400390625,371.50299072265625,1535.4482421875,962.296142578125,2400.968994140625
PermanentCrop,B6,2442.75146484375,299.24005126953125,2418.30419921875,1316.117431640625,3179.79931640625
PermanentCrop,B7,2869.082763671875,334.69207763671875,2818.083984375,1458.764892578125,3758.629638671875
PermanentCrop,B8,2766.78125,323.5892028808594,2714.49755859375,1426.26806640625,3645.61767578125
PermanentCrop,B8A,747.9617919921875,171.60267639160156,736.725830078125,435.376220703125,1430.556884765625
PermanentCrop,B9,13.143756866455078,2.92877459526062,12.6455078125,8.8681640625,20.928466796875
PermanentCrop,B10,2625.42822265625,521.1964111328125,2640.025146484375,1349.354736328125,3686.007568359375
PermanentCrop,B11,1681.697509765625,462.896484375,1693.1431884765625,775.876220703125,2599.700927734375
PermanentCrop,B12,3158.240966796875,349.8627014160156,3127.122802734375,1626.027587890625,4100.673828125
Residential,B1,1438.0740966796875,139.99610900878906,1423.441650390625,1158.7548828125,1913.6708984375
Residential,B2,1185.2406005859375,146.51792907714844,1150.7484130859375,936.571044921875,1713.05029296875
Residential,B3,1080.26953125,177.9611358642578,1022.960205078125,877.61474609375,1732.665283203125
Residential,B4,1024.0531005859375,275.6516418457031,933.6650390625,649.447509765625,1904.6416015625
Residential,B5,1246.2030029296875,272.33984375,1204.109619140625,777.633056640625,2081.95263671875
Residential,B6,1972.45556640625,341.84033203125,1979.28857421875,1010.149658203125,2703.570068359375
Residential,B7,2291.646728515625,406.36639404296875,2321.68212890625,1054.719970703125,3122.185546875
Residential,B8,2190.72802734375,406.0340881347656,2236.9326171875,984.49658203125,3076.721923828125
Residential,B8A,659.0267944335938,263.32647705078125,573.979736328125,288.105712890625,1522.40771484375
Residential,B9,12.046089172363281,3.0159971714019775,12.3818359375,7.260986328125,31.16650390625
Residential,B10,1950.3153076171875,428.30810546875,1852.3544921875,799.633056640625,2962.44970703125
Residential,B11,1350.481689453125,364.3616943359375,1257.1429443359375,535.2958984375,2476.614501953125
Residential,B12,2482.977783203125,448.1146240234375,2532.6015625,1088.173583984375,3392.405517578125
River,B1,1309.03955078125,159.5514373779297,1290.8365478515625,1086.06982421875,2011.259521484375
River,B2,1042.88818359375,148.29953002929688,1023.913330078125,820.91259765625,1724.67919921875
River,B3,928.5870971679688,154.1324005126953,898.1107177734375,642.360595703125,1495.4130859375
River,B4,710.3944702148438,216.3701629638672,670.6868896484375,380.645751953125,1638.196533203125
River,B5,926.685546875,232.5423583984375,915.45068359375,445.8994140625,1801.972412109375
River,B6,1712.466552734375,438.3719787597656,1685.1025390625,685.640869140625,2700.671875
River,B7,2062.119384765625,567.4733276367188,2023.1593017578125,741.33740234375,3451.195556640625
River,B8,1981.708251953125,553.7125854492188,1940.34912109375,708.2802734375,3398.486328125
River,B8A,597.0576171875,251.88088989257812,570.3297119140625,195.21484375,1386.98828125
River,B9,10.499975204467773,3.6090288162231445,9.524658203125,6.8291015625,36.61572265625
River,B10,1279.7344970703125,381.9878845214844,1247.7933349609375,529.97265625,2860.590087890625
River,B11,708.1924438476562,285.9212341308594,681.4713134765625,253.177001953125,1959.792724609375
River,B12,2230.0927734375,618.8082885742188,2184.42822265625,813.9599609375,3726.82666015625
SeaLake,B1,1206.7542724609375,127.41229248046875,1192.0928955078125,942.7109375,1613.870361328125
SeaLake,B2,920.1781005859375,176.4667510986328,871.5062255859375,677.4912109375,1398.357421875
SeaLake,B3,738.4022827148438,285.7618713378906,641.0723876953125,430.00634765625,1425.904052734375
SeaLake,B4,479.5217590332031,268.212158203125,369.899658203125,235.208984375,1139.71240234375
SeaLake,B5,486.9658203125,320.7657775878906,333.5184326171875,196.6083984375,1424.54638671875
SeaLake,B6,395.9692687988281,236.21189880371094,316.6514892578125,167.2041015625,1229.63720703125
SeaLake,B7,397.2362976074219,259.5807800292969,308.710205078125,144.6591796875,1270.554931640625
