experiment_id,sample_index,path,true_class,predicted_class,confidence,correct,top_band,top_score
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,0,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_2035.tif,AnnualCrop,AnnualCrop,0.9860072135925293,True,B3,0.26748937368392944
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,1,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Industrial\Industrial_926.tif,Industrial,Industrial,0.9992198944091797,True,B3,0.9990019292890793
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,2,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_705.tif,AnnualCrop,AnnualCrop,0.9761533737182617,True,B3,0.05051356554031372
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,3,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Forest\Forest_2954.tif,Forest,Forest,0.9985663294792175,True,B4,0.3131459355354309
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,4,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Industrial\Industrial_70.tif,Industrial,Industrial,0.9999783039093018,True,B3,0.9983975682407618
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,5,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_1176.tif,PermanentCrop,PermanentCrop,0.9991338849067688,True,B3,0.9871988417580724
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,6,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\HerbaceousVegetation\HerbaceousVegetation_2302.tif,HerbaceousVegetation,HerbaceousVegetation,0.9991562366485596,True,B3,0.9689045697450638
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,7,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Pasture\Pasture_683.tif,Pasture,Pasture,0.9916951060295105,True,B3,0.378243088722229
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,8,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_580.tif,PermanentCrop,PermanentCrop,0.595081627368927,True,B3,0.5945438605267555
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,9,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Pasture\Pasture_1171.tif,Pasture,Pasture,0.9869133830070496,True,B3,0.9052639007568359
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,10,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\HerbaceousVegetation\HerbaceousVegetation_1929.tif,HerbaceousVegetation,HerbaceousVegetation,0.9999243021011353,True,B3,0.9994593673036434
v4_ablation_rgb_rededge_nir_swir_resnet18_pretrained_adapted_seed42,11,C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\SeaLake\SeaLake_1146.tif,SeaLake,SeaLake,0.999992847442627,True,B4,0.008746325969696045
